cod.mun,departamento_y_municipio,t_2001,h_01,m_01,t_2012,h_12,m_12,tmn_2001_2012(%),tac_ 2001_2012(%),ind_mas,urbana,rural,pob_insrc_%,pob_ci_%,t_taf>15,h_>15,m_>15,t_ae(6_19),h_ae(6_19),m_ae(6_19),nin_(ni>19),prim_(ni>19),se_(ni>19),sup_(ni>19),ins_(ni>19),otro_(ni>19),t_aest,h_aest,m_aest,est_sal_ultpar,dom_ultpar,otro_ultpar,sinesp_ultpar
020301,Coro Coro,11813,6128,5685,10647,5615,5032,-1.1757295822,-0.9269466924,111.5858505564,0,100,99.3965679804,85.2258852259,94.0286831812,98.2933465249,89.2748828233,83.2781456954,80.1041064199,87.5290472502,10.6596701649,38.0659670165,41.5292353823,8.2308845577,1.1544227886,0.35982009,7.1924294978,8.4284047827,"5,9","31,3","66,3","2,3","0,0"
020302,Caquiaviri,11901,6030,5871,14687,7466,7221,-1.8301944107,1.8761513827,103.3928818723,0,100,99.454483464,86.9476407707,94.787264018,98.2136211388,91.2952778305,90.5059989567,91.36979428,89.5708853884,10.7004095348,37.4041793552,42.0560747664,8.9467604746,0.7350624803,0.1575133886,7.1992397846,8.6978794877,"5,7","20,1","78,6","1,3","0,0"
020303,Calacoto,8818,4500,4318,9879,5197,4682,-1.4422010206,1.0134110369,110.9995728321,0,100,99.4317605277,89.7864156291,95.7658270933,98.5955786736,92.6571428571,88.8193575302,88.7323943662,88.9186773905,9.0922753231,39.5401262399,44.1989780583,6.176735798,0.6311992786,0.3606853021,7.0509140354,8.3363267671,"5,6","16,3","81,7","2,0","0,0"
020304,Comanche,3862,1865,1997,3880,1958,1922,-5.3683609366,0.0414758664,101.8730489074,0,100,99.3035852463,86.9072164948,91.9750824478,96.3730569948,87.6632801161,90.3225806452,93.8775510204,86.3636363636,12.9499379396,43.897393463,35.7881671494,6.4129085643,0.8274720728,0.1241208109,6.3502285002,7.6705783738,"5,1","18,3","78,5","3,2","0,0"
020305,Charaña,2766,1454,1312,3246,1642,1604,2.3622047244,1.4273253218,102.3690773067,0,100,99.4451294698,89.4023413432,96.7381974249,99.4057724958,94.0104166667,88.4023668639,89.1203703704,87.6513317191,5.3460620525,41.7183770883,45.5369928401,5.6324582339,1.3365155131,0.4295942721,7.3637236084,8.3602661597,"6,3","21,5","76,4","2,0","0,0"
020306,Waldo Ballivian,1657,852,805,5069,2599,2470,1.9514408895,9.9733146967,105.2226720648,39.9684355889,60.0315644111,98.9529830107,89.4851055435,97.0737533592,98.4797297297,95.48633185,90.0973096737,90.0763358779,90.1204819277,6.8965517241,21.3067150635,64.6823956443,6.0254083485,0.9074410163,0.1814882033,8.8027136047,9.7124824684,"7,8","22,8","75,2","2,0","0,0"
020307,Nazacara de Pacajes,267,134,133,619,334,285,2.7075812274,7.5001041656,117.1929824561,0,100,99.6763754045,86.591276252,97.619047619,99.6062992126,95.1923076923,83.9285714286,87.7551020408,78.5714285714,6.1274509804,27.6960784314,59.068627451,6.3725490196,0.4901960784,0.2450980392,8.4039408867,9.0552995392,"7,7","29,8","65,3","5,0","0,0"
020308,Callapa,8099,4237,3862,7289,3932,3357,-1.6474976686,-0.9398959638,117.1283884421,0,100,99.4093406593,88.7638907943,90.3942254303,96.9142082062,82.5590872046,90.5723905724,92.5925925926,88.1481481481,14.431516636,43.3353745662,36.9667279037,4.5111247193,0.5307205552,0.2245356195,6.0385324862,7.332957958,"4,5","18,1","80,4","1,5","0,0"
020401,Puerto Acosta,13083,6440,6643,11290,5623,5667,-2.8259598519,-1.3147159457,99.2235750838,0,100,98.6865459709,86.4038972542,83.4574028122,94.4484498919,72.8265922827,88.4746922025,89.2695539754,87.5816993464,22.9986613119,41.2048192771,29.0896921017,6.2382864793,0.374832664,0.093708166,5.4036549315,6.9775312067,"3,9","15,9","82,9","1,2","0,0"
020402,Mocomoco,17233,8746,8487,15665,8178,7487,-3.2719836401,-0.8509050404,109.2293308401,0,100,98.6247921197,83.8940312799,81.59084863,92.0444968818,69.9850299401,87.5088547816,89.1952983725,85.664854177,27.2975985409,41.979937177,25.8080859256,4.3368122403,0.3850440774,0.1925220387,4.817396606,6.1022506791,"3,4","13,1","84,5","2,3","0,1"
020403,Pto. Carabuco,14721,7535,7186,14589,7579,7010,-0.9133810321,-0.080340845,108.1169757489,0,100,98.7712795167,83.1037082734,86.4910157341,95.1501154734,76.9561815336,86.2937433722,84.9336057201,87.7618522602,20.1638311279,39.7080445285,33.2808233564,5.8076034447,0.6616257089,0.3780718336,5.8531306092,7.3340093287,"4,2","19,4","79,4","1,2","0,0"
020404,Humanata,5599,2648,2951,5342,2710,2632,-4.43490701,-0.4191132069,102.9635258359,0,100,98.0848666917,80.9809060277,81.3831185906,93.1506849315,69.6587926509,89.1612903226,92.1717171717,86.0158311346,27.813163482,41.9775553534,27.1458902032,2.5174400971,0.3942978465,0.1516530179,4.7034671533,5.9981662592,"3,4","8,9","88,6","2,4","0,2"
020405,Escoma,7241,3546,3695,7186,3549,3637,-2.5797588154,-0.0680086428,97.5804234259,0,100,98.7884695725,89.2708043418,82.985235866,95.031284505,71.4487134297,93.6678614098,95.2054794521,91.9799498747,25.474905019,33.9932013597,31.0537892422,8.5182963407,0.599880024,0.3599280144,5.8035462422,7.7497914929,"4,0","16,3","78,9","4,8","0,0"
020501,Chuma,12843,6717,6126,11473,5955,5518,-3.3297841448,-1.0061528189,107.9195360638,0,100,98.1999300944,79.6653011418,87.1291983329,93.882853094,79.8419979613,86.6845397676,88.9211136891,84.3233312921,18.5724482512,42.312633833,33.5760171306,4.8536759458,0.4568165596,0.2284082798,5.7994847574,6.9007362967,"4,6","19,0","79,2","1,8","0,0"
020502,Ayata,8143,4048,4095,8410,4384,4026,-1.8466479326,0.2877713546,108.8922006955,0,100,97.115613826,75.5291319857,79.4544810485,88.3143049026,69.5652173913,85.9577621341,87.3523280056,84.3650793651,30.0125575555,37.7773126831,26.098786103,5.3160318125,0.5023022185,0.2930096275,4.9926424217,6.2428743477,"3,6","17,8","80,5","1,7","0,0"
020503,Aucapata,4146,2162,1984,5495,2940,2555,-0.2905770029,2.5126027563,115.0684931507,0,100,97.9919678715,69.0809827116,84.7943722944,93.0073349633,74.6214415506,82.800697269,85.1203501094,80.1734820322,22.6156299841,40.9250398724,32.5039872408,3.4768740032,0.3827751196,0.0956937799,5.4090038314,6.5101331789,"4,1","20,0","75,9","3,7","0,3"
020601,Sorata,18932,9644,9288,23512,12155,11357,-1.5500190186,1.9324964788,107.026503478,11.8577747533,88.1422252467,98.4153354633,82.6981966655,89.7136669875,94.993077988,83.9617898441,83.5998745688,84.4031007752,82.7783063749,14.578665037,39.8112310722,38.7247911998,5.8056630678,0.9302641407,0.1493854824,6.4699911438,7.4662065373,"5,4","28,6","69,9","1,5","0,0"
020602,Guanay,11528,6199,5329,14788,8071,6717,4.2702407855,2.2213119065,120.1578085455,28.164728158,71.835271842,97.3033403347,78.0497700839,95.8639888646,97.766836645,93.3882406772,81.0836277974,79.7434763379,82.6108870968,6.1426458878,36.0596064157,49.2549198043,6.5294050734,1.7631668752,0.2502559436,7.7118993135,8.2742292968,"7,0","55,5","42,1","2,4","0,0"
020603,Tacacoma,6269,3408,2861,8182,4468,3714,4.1562413122,2.3754656401,120.3015616586,0,100,97.6362522964,81.667074065,91.9066011236,95.12884978,87.8281622912,81.6591928251,82.0338983051,81.2380952381,11.7916999202,35.5945730247,46.0295291301,5.8260175579,0.4988028731,0.259377494,7.0368294636,7.7933381089,"6,1","38,3","60,3","1,4","0,0"
020604,Quiabaya,2580,1353,1227,2684,1402,1282,0,0.3524920454,109.360374415,0,100,98.0568011958,80.2533532042,88.3783783784,93.4237995825,82.9596412556,86.9461077844,88.7058823529,85.1219512195,19.8979591837,44.1326530612,28.8265306122,6.4413265306,0.637755102,0.0637755102,5.7303514377,6.4785801714,"4,9","22,0","74,8","3,3","0,0"
020605,Combaya,2691,1373,1318,3731,1931,1800,-1.3397947548,2.9145988324,107.2777777778,0,100,99.0080428954,87.4028410614,87.0152354571,94.3699731903,79.1547277937,89.7326203209,89.2783505155,90.2222222222,18.5847589425,35.6920684292,37.6360808709,7.1928460342,0.7387247278,0.1555209953,6.4615684744,7.7916666667,"5,0","22,5","76,4","1,1","0,0"
020606,Tipuani,9321,5017,4304,9985,5336,4649,8.3923389437,0.6137937405,114.7773714777,24.596895343,75.403104657,97.6702149026,78.1772658988,96.8914251389,98.3633841886,95.1538965291,86.0392967942,87.3633879781,84.6903270703,5.7530482569,31.8736046711,52.8250042933,7.5218959299,1.4769019406,0.5495449081,8.0810810811,8.4375197722,"7,6","73,8","22,0","4,1","0,0"
020607,Mapiri,9633,5083,4550,13891,7530,6361,12.3150602925,3.2649876538,118.3776135828,43.2366280325,56.7633719675,96.4550760141,77.9209560147,96.0062646829,97.9179179179,93.5851926978,83.3834760472,82.3214285714,84.5266698703,6.9983026505,32.58911085,52.8920224572,6.2279670975,1.0706358532,0.2219610915,7.7848898216,8.349324639,"7,1","61,7","35,3","3,0","0,0"
020608,Teoponte,7109,3983,3126,9349,5152,4197,6.8365596667,2.4431478418,122.7543483441,0,100,97.8748524203,77.1633329768,96.4546899841,97.9304635762,94.448612153,80.1955104996,78.3954961295,82.1029082774,7.1495066096,35.3565444051,49.0783839136,6.7026624465,1.3219139825,0.3909886427,7.691011236,8.137399679,"7,1","52,1","44,4","3,5","0,0"
020701,Apolo,13271,6938,6333,20308,10982,9326,0.1300831401,3.7946981252,117.7568089213,31.3964939925,68.6035060075,96.4603080569,75.1624975379,93.213371597,95.5002794857,90.3608157574,84.9833309175,83.2034399355,87.0673379484,13.3623483656,33.7438651727,44.7356236689,7.0191684415,0.6111677007,0.5278266506,7.1509152036,7.720729853,"6,4","35,7","62,1","2,2","0,0"
020702,Pelechuco,5115,2729,2386,6780,3908,2872,2.5608882521,2.5135404623,136.0724233983,0,100,98.2127031019,84.6312684366,91.6452991453,95.8889289578,85.4745673833,73.3009708738,71.8483412322,75.2190237797,14.1141876991,39.6226415094,40.1127174712,5.2683165891,0.539083558,0.3430531732,6.6051206302,7.6380316931,"5,1","24,3","73,0","2,6","0,2"
020801,Viacha,46596,23477,23119,80724,39695,41029,8.4834210118,4.9015092269,96.748641205,78.0176899063,21.9823100937,99.3590061496,84.6551211536,96.1491442543,98.876905913,93.5964362776,89.2888614734,88.2024402818,90.4322662326,6.7214552277,29.6551583498,45.8776026266,14.2463853825,2.9365581092,0.5628403043,8.5759232239,9.6577043285,"7,6","52,8","45,7","1,5","0,0"
020802,Guaqui,7552,3771,3781,7278,3596,3682,1.1222504863,-0.3296356564,97.6643128734,0,100,99.3122420908,85.4905193735,88.7212643678,96.5951147298,81.2979762736,82.65625,77.5718257646,89.179548157,17.9001019368,39.4495412844,34.4546381244,7.1967380224,0.5708460754,0.4281345566,6.2252713496,7.7176929748,"4,9","28,1","70,0","2,0","0,0"
020803,Tiahuanacu,11309,5523,5786,12189,6045,6144,-2.6658400496,0.6683905103,98.388671875,16.637952252,83.362047748,99.4417993761,90.6555090656,90.0154627789,95.8258122744,84.4439636521,87.4829188303,89.2782426778,85.5180309101,18.0758772498,33.1477405153,41.603004014,6.5389097501,0.4402434287,0.1942250421,6.6027788599,7.847266881,"5,4","20,0","78,3","1,6","0,1"
